name,age,sex,breed,date_found,adoptable_from,posted,color,coat,size,neutered,housebroken,likes_people,likes_children,get_along_males,get_along_females,get_along_cats,keep_in,found_year
Unknown,6.17,female,Unknown Mix,2013-12-02,2013-12-02,2014-01-08,brown,short,medium,unknown,unknown,unknown,unknown,unknown,unknown,unknown,both flat and garden,2013
Lõrinc,8.83,male,Mudi Mix,2013-12-19,2013-12-19,2014-01-16,black,medium,medium,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2013
Baba,7.83,female,Dachshund Mix,2013-09-13,2013-09-13,2014-01-16,brown and white,short,small,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2013
Rozina,7.33,female,Unknown Mix,2014-01-03,2014-01-03,2014-01-03,black,short,medium,unknown,unknown,yes,yes,yes,yes,unknown,unknown,2014
Frida,12.08,female,German Shepherd Dog,2014-01-15,2014-01-15,2014-01-15,sable,short,medium,no,unknown,yes,unknown,unknown,unknown,unknown,both flat and garden,2014
Pepe,6.83,male,Dachshund Mix,2013-08-22,2014-01-08,2014-01-09,tricolor,short,small,yes,unknown,yes,yes,yes,yes,yes,both flat and garden,2013
Marco,8.25,male,Dachshund Mix,2014-01-03,2014-01-03,2014-01-03,black,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,2014
Virginia,10.92,female,Unknown Mix,2014-01-03,2014-01-03,2014-01-03,black and brown,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,2014
Unknown,6.42,female,German Shepherd Dog Mix,2013-12-02,2014-01-14,2014-01-08,black and brown,short,medium,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2013
Bessy,6.17,female,Unknown Mix,2014-01-08,2014-01-08,2014-01-09,saddle back,short,medium,unknown,unknown,yes,unknown,yes,yes,unknown,unknown,2014
Jakab,6.83,male,Hound Mix,2013-12-19,2013-12-19,2014-01-16,brown,short,large,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2013
Carlo,10.92,male,Unknown Mix,2014-01-08,2014-01-08,2014-01-09,black,wirehaired,medium,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,2014
Dener,12.92,male,Unknown Mix,2013-12-29,2013-12-29,2014-01-03,brown,short,large,no,unknown,yes,yes,yes,yes,unknown,both flat and garden,2013
Primus,16.92,male,German Shepherd Dog,2014-01-08,2014-01-08,2014-01-09,sable,short,medium,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2014
Sunny,10.17,female,Unknown Mix,2014-01-08,2014-01-08,2014-01-09,white,short,medium,unknown,unknown,yes,yes,yes,yes,unknown,unknown,2014
Juhász,11.0,male,Kuvasz,2013-12-18,2013-12-18,2014-01-06,white,medium,large,yes,unknown,yes,unknown,yes,yes,unknown,garden,2013
Betyárka,14.33,male,Unknown Mix,2013-12-29,2013-12-29,2014-01-01,saddle back,short,large,unknown,unknown,yes,unknown,yes,yes,unknown,both flat and garden,2013
Rózi,8.92,female,"Hungarian Vizsla, Labrador Retriever Mix",2013-12-07,2013-12-07,2013-12-17,yellow,short,medium,unknown,unknown,yes,unknown,no,no,no,garden,2013
Rómeó,11.92,male,Unknown Mix,2008-01-01,2008-01-01,2013-12-17,gray and white,short,large,yes,unknown,yes,unknown,yes,yes,unknown,both flat and garden,2008
Dumbi,7.0,female,"Golden Retriever, Setter, Vizsla Mix",2013-10-30,2013-10-30,2013-12-09,brown and white,medium,medium,unknown,unknown,yes,yes,yes,unknown,unknown,both flat and garden,2013
